Date,Close,Market
1988-01-01,1713.9,ftse
1988-01-04,1713.9,ftse
1988-01-05,1789.6,ftse
1988-01-06,1787.1,ftse
1988-01-07,1787.2,ftse
1988-01-08,1773.4,ftse
1988-01-11,1760.2,ftse
1988-01-12,1739.2,ftse
1988-01-13,1733.4,ftse
1988-01-14,1743.4,ftse
1988-01-15,1786.7,ftse
1988-01-18,1790.0,ftse
1988-01-19,1768.0,ftse
1988-01-20,1752.8,ftse
1988-01-21,1747.2,ftse
1988-01-22,1770.9,ftse
1988-01-25,1762.2,ftse
1988-01-26,1767.3,ftse
1988-01-27,1765.2,ftse
1988-01-28,1783.9,ftse
1988-01-29,1790.8,ftse
1988-02-01,1776.9,ftse
1988-02-02,1774.4,ftse
1988-02-03,1766.3,ftse
1988-02-04,1766.9,ftse
1988-02-05,1737.8,ftse
1988-02-08,1694.5,ftse
1988-02-09,1707.2,ftse
1988-02-10,1718.5,ftse
1988-02-11,1729.8,ftse
1988-02-12,1734.0,ftse
1988-02-15,1739.2,ftse
1988-02-16,1734.9,ftse
1988-02-17,1748.1,ftse
1988-02-18,1736.1,ftse
1988-02-19,1729.8,ftse
1988-02-22,1747.2,ftse
1988-02-23,1757.9,ftse
1988-02-24,1760.1,ftse
1988-02-25,1782.4,ftse
1988-02-26,1766.5,ftse
1988-02-29,1768.8,ftse
1988-03-01,1781.9,ftse
1988-03-02,1808.7,ftse
1988-03-03,1813.3,ftse
1988-03-04,1834.5,ftse
1988-03-07,1818.2,ftse
1988-03-08,1815.0,ftse
1988-03-09,1815.3,ftse
1988-03-10,1834.6,ftse
1988-03-11,1811.6,ftse
1988-03-14,1819.5,ftse
1988-03-15,1836.5,ftse
1988-03-16,1825.7,ftse
1988-03-17,1828.1,ftse
1988-03-18,1855.5,ftse
1988-03-21,1841.1,ftse
1988-03-22,1835.4,ftse
1988-03-23,1832.2,ftse
1988-03-24,1782.7,ftse
1988-03-25,1767.9,ftse
1988-03-28,1746.5,ftse
1988-03-29,1765.1,ftse
1988-03-30,1756.9,ftse
1988-03-31,1742.5,ftse
1988-04-01,1742.5,ftse
1988-04-04,1742.5,ftse
1988-04-05,1737.6,ftse
1988-04-06,1745.0,ftse
1988-04-07,1761.0,ftse
1988-04-08,1779.7,ftse
1988-04-11,1810.5,ftse
1988-04-12,1805.3,ftse
1988-04-13,1810.4,ftse
1988-04-14,1787.2,ftse
1988-04-15,1778.6,ftse
1988-04-18,1787.8,ftse
1988-04-19,1798.9,ftse
1988-04-20,1786.8,ftse
1988-04-21,1791.9,ftse
1988-04-22,1771.6,ftse
1988-04-25,1777.6,ftse
1988-04-26,1800.8,ftse
1988-04-27,1806.3,ftse
1988-04-28,1804.4,ftse
1988-04-29,1802.2,ftse
1988-05-02,1802.2,ftse
1988-05-03,1807.2,ftse
1988-05-04,1794.7,ftse
1988-05-05,1789.5,ftse
1988-05-06,1801.1,ftse
1988-05-09,1794.9,ftse
1988-05-10,1792.6,ftse
1988-05-11,1756.8,ftse
1988-05-12,1772.3,ftse
1988-05-13,1781.8,ftse
1988-05-16,1776.6,ftse
1988-05-17,1789.2,ftse
1988-05-18,1777.6,ftse
1988-05-19,1760.6,ftse
1988-05-20,1770.2,ftse
1988-05-23,1761.3,ftse
1988-05-24,1782.9,ftse
1988-05-25,1787.9,ftse
1988-05-26,1785.3,ftse
1988-05-27,1783.7,ftse
1988-05-30,1783.7,ftse
1988-05-31,1784.5,ftse
1988-06-01,1805.7,ftse
1988-06-02,1810.3,ftse
1988-06-03,1819.2,ftse
1988-06-06,1832.7,ftse
1988-06-07,1820.2,ftse
1988-06-08,1828.2,ftse
1988-06-09,1841.5,ftse
1988-06-10,1849.8,ftse
1988-06-13,1838.8,ftse
1988-06-14,1866.2,ftse
1988-06-15,1869.3,ftse
1988-06-16,1861.9,ftse
1988-06-17,1850.1,ftse
1988-06-20,1844.0,ftse
1988-06-21,1860.1,ftse
1988-06-22,1879.3,ftse
1988-06-23,1878.9,ftse
1988-06-24,1871.3,ftse
1988-06-27,1841.5,ftse
1988-06-28,1856.9,ftse
1988-06-29,1855.1,ftse
1988-06-30,1857.6,ftse
1988-07-01,1858.2,ftse
1988-07-04,1848.0,ftse
1988-07-05,1854.8,ftse
1988-07-06,1870.0,ftse
1988-07-07,1855.5,ftse
1988-07-08,1877.2,ftse
1988-07-11,1876.8,ftse
1988-07-12,1858.5,ftse
1988-07-13,1871.3,ftse
1988-07-14,1863.3,ftse
1988-07-15,1861.5,ftse
1988-07-18,1849.3,ftse
1988-07-19,1844.8,ftse
1988-07-20,1867.2,ftse
1988-07-21,1864.4,ftse
1988-07-22,1844.8,ftse
1988-07-25,1838.5,ftse
1988-07-26,1837.7,ftse
1988-07-27,1840.8,ftse
1988-07-28,1841.3,ftse
1988-07-29,1853.6,ftse
1988-08-01,1862.2,ftse
1988-08-02,1855.5,ftse
1988-08-03,1865.1,ftse
1988-08-04,1869.7,ftse
1988-08-05,1875.9,ftse
1988-08-08,1876.0,ftse
1988-08-09,1862.6,ftse
1988-08-10,1839.9,ftse
1988-08-11,1835.2,ftse
1988-08-12,1843.4,ftse
1988-08-15,1816.8,ftse
1988-08-16,1825.3,ftse
1988-08-17,1830.9,ftse
1988-08-18,1833.9,ftse
1988-08-19,1844.3,ftse
1988-08-22,1832.3,ftse
1988-08-23,1817.9,ftse
1988-08-24,1819.2,ftse
1988-08-25,1780.2,ftse
1988-08-26,1770.7,ftse
1988-08-29,1770.7,ftse
1988-08-30,1754.8,ftse
1988-08-31,1753.6,ftse
1988-09-01,1730.5,ftse
1988-09-02,1746.9,ftse
1988-09-05,1764.5,ftse
1988-09-06,1768.0,ftse
1988-09-07,1756.1,ftse
1988-09-08,1739.8,ftse
1988-09-09,1738.4,ftse
1988-09-12,1744.6,ftse
1988-09-13,1756.3,ftse
1988-09-14,1765.1,ftse
1988-09-15,1769.3,ftse
1988-09-16,1766.7,ftse
1988-09-19,1759.9,ftse
1988-09-20,1772.1,ftse
1988-09-21,1796.8,ftse
1988-09-22,1788.7,ftse
1988-09-23,1792.4,ftse
1988-09-26,1792.7,ftse
1988-09-27,1808.0,ftse
1988-09-28,1812.5,ftse
1988-09-29,1829.0,ftse
1988-09-30,1826.5,ftse
1988-10-03,1802.6,ftse
1988-10-04,1807.3,ftse
1988-10-05,1826.3,ftse
1988-10-06,1838.9,ftse
1988-10-07,1844.7,ftse
1988-10-10,1844.1,ftse
1988-10-11,1838.3,ftse
1988-10-12,1814.3,ftse
1988-10-13,1830.7,ftse
1988-10-14,1840.6,ftse
1988-10-17,1860.0,ftse
1988-10-18,1857.0,ftse
1988-10-19,1862.5,ftse
1988-10-20,1864.3,ftse
